Jahr,Art,Bezirk,Deutschland,Schleswig-Holstein,Hamburg,Niedersachsen,Bremen,Nordrhein-Westfalen,Hessen,Rheinland-Pfalz,Baden-Württemberg,Bayern,Saarland,Brandenburg,Mecklenburg-Vorpommern,Sachsen,Sachsen-Anhalt,Thüringen
1996,Fortzug,Neukölln,5999,282,163,653,55,644,260,123,428,647,20,2295,112,147,116,54
1996,Fortzug,Pankow,7078,161,144,352,40,408,179,76,345,352,40,3736,406,389,257,193
1996,Fortzug,Reinickendorf,4772,265,110,550,31,450,222,108,173,478,11,2114,101,85,52,22
1996,Fortzug,Spandau,4508,238,80,482,33,415,133,83,243,370,15,2141,95,97,61,22
1996,Fortzug,Steglitz-Zehlendorf,6833,346,158,689,44,784,385,178,591,676,32,2544,118,124,105,59
1996,Fortzug,Tempelhof-Schöneberg,6871,340,229,766,73,810,421,134,520,675,42,2452,110,124,103,72
1996,Fortzug,Treptow-Köpenick,4271,89,56,178,15,227,120,40,188,247,3,2526,154,234,108,86
1996,Zuzug,Charlottenburg-Wilmersdorf,5971,291,317,651,86,1073,521,159,669,768,49,844,154,170,144,75
1996,Zuzug,Friedrichshain-Kreuzberg,5802,202,208,583,77,778,395,139,624,532,43,1179,337,342,235,128
1996,Zuzug,Lichtenberg,4288,106,63,224,21,347,169,45,287,256,3,1394,351,598,295,129
1996,Zuzug,Marzahn-Hellersdorf,3802,80,45,187,11,183,57,39,200,165,22,1739,308,377,243,146
1996,Zuzug,Mitte,6792,301,265,743,76,1065,456,175,738,719,64,1200,223,358,281,128
1996,Zuzug,Neukölln,4359,216,164,556,68,668,241,133,395,454,22,952,135,179,118,58
1996,Zuzug,Pankow,6537,167,213,481,85,620,269,135,503,484,21,1979,485,519,335,241
1996,Zuzug,Reinickendorf,2942,176,74,339,27,370,182,64,259,306,12,807,103,114,80,29
1996,Zuzug,Spandau,2918,147,72,280,23,309,134,69,218,205,8,1037,95,211,68,42
1996,Zuzug,Steglitz-Zehlendorf,5289,268,207,594,62,877,444,123,602,599,35,1021,125,143,122,67
1996,Zuzug,Tempelhof-Schöneberg,5098,223,212,705,86,827,342,143,591,568,42,883,124,176,126,50
1996,Zuzug,Treptow-Köpenick,3552,72,44,266,24,248,108,42,196,199,14,1609,171,277,156,126
1997,Fortzug,Charlottenburg-Wilmersdorf,7106,350,292,706,63,960,456,153,688,679,25,2283,137,172,84,58
1997,Fortzug,Friedrichshain-Kreuzberg,6620,177,207,528,68,707,321,145,495,529,28,2618,242,259,189,107
1997,Fortzug,Lichtenberg,8322,165,63,286,27,395,260,90,303,327,34,5149,396,429,224,174
1997,Fortzug,Marzahn-Hellersdorf,10244,164,66,328,21,353,143,135,275,325,28,7345,333,356,213,159
1997,Fortzug,Mitte,8699,274,240,676,62,827,529,161,602,789,36,3654,205,350,186,108
1997,Fortzug,Neukölln,6602,285,137,705,47,721,277,129,515,544,21,2795,131,137,112,46
1997,Fortzug,Pankow,8903,159,145,330,36,416,211,128,374,456,22,5306,456,412,255,197
1997,Fortzug,Reinickendorf,5554,237,71,481,23,430,174,90,196,456,10,3109,95,91,65,26
1997,Fortzug,Spandau,5427,238,82,420,24,392,149,90,217,378,15,3083,79,164,68,28
1997,Fortzug,Steglitz-Zehlendorf,7688,343,183,743,42,668,401,195,571,729,30,3348,121,168,97,49
1997,Fortzug,Tempelhof-Schöneberg,7239,326,204,732,66,764,397,161,546,649,51,2877,128,143,114,81
1997,Fortzug,Treptow-Köpenick,4984,112,68,197,25,201,127,83,228,204,7,3067,205,217,132,111
1997,Zuzug,Charlottenburg-Wilmersdorf,5997,276,378,693,122,1076,499,164,613,690,57,855,150,175,153,96
1997,Zuzug,Friedrichshain-Kreuzberg,6253,216,244,651,80,902,389,158,662,515,53,1245,341,366,300,131
1997,Zuzug,Lichtenberg,4849,100,60,258,25,347,153,70,215,260,20,1808,417,586,346,184
1997,Zuzug,Marzahn-Hellersdorf,3636,74,38,215,9,161,78,37,119,138,11,1782,310,320,213,131
1997,Zuzug,Mitte,6991,286,267,733,81,1098,469,225,721,727,69,1307,281,309,284,134
1997,Zuzug,Neukölln,4666,200,135,519,59,661,269,106,437,471,37,1145,147,184,188,108
1997,Zuzug,Pankow,7399,242,233,479,88,784,366,130,566,466,44,2333,585,529,355,199
1997,Zuzug,Reinickendorf,3115,182,92,349,33,398,202,72,263,213,14,980,107,103,76,31
1997,Zuzug,Spandau,3358,141,67,319,32,381,126,107,188,305,13,1231,106,224,81,37
1997,Zuzug,Steglitz-Zehlendorf,5070,282,171,542,38,852,362,139,511,603,40,1046,101,185,128,70
1997,Zuzug,Tempelhof-Schöneberg,5427,222,194,661,68,801,348,162,575,598,32,1270,158,166,112,60
1997,Zuzug,Treptow-Köpenick,4663,78,46,614,11,313,104,49,244,164,12,2281,206,257,181,103
1998,Fortzug,Charlottenburg-Wilmersdorf,7596,339,293,728,70,976,445,140,684,794,29,2672,112,136,109,69
1998,Fortzug,Friedrichshain-Kreuzberg,6490,165,187,447,57,643,311,134,531,518,23,2661,226,284,186,117
1998,Fortzug,Lichtenberg,8713,133,71,308,28,359,177,60,291,376,16,5724,389,411,196,174
1998,Fortzug,Marzahn-Hellersdorf,9686,133,79,297,13,306,138,90,291,356,12,7055,326,289,169,132
1998,Fortzug,Mitte,9267,316,205,750,59,839,521,170,704,923,38,3821,287,316,194,124
1998,Fortzug,Neukölln,6854,301,182,673,53,642,279,120,590,722,16,2865,131,121,109,50
1998,Fortzug,Pankow,9542,185,187,367,39,535,273,97,428,417,21,5610,484,406,283,210
1998,Fortzug,Reinickendorf,6018,275,106,501,25,402,243,113,244,448,13,3375,100,69,70,34
1998,Fortzug,Spandau,5926,212,106,437,25,431,142,61,278,473,27,3484,75,92,48,35
1998,Fortzug,Steglitz-Zehlendorf,7843,307,193,636,55,700,335,168,622,758,22,3623,117,157,97,53
1998,Fortzug,Tempelhof-Schöneberg,7926,302,203,699,51,749,436,174,572,856,38,3433,120,136,109,48
1998,Fortzug,Treptow-Köpenick,5526,100,58,184,20,242,137,63,243,242,15,3600,171,215,140,96
1998,Zuzug,Charlottenburg-Wilmersdorf,7943,389,441,980,123,1491,604,202,862,954,82,1071,204,238,217,85
1998,Zuzug,Friedrichshain-Kreuzberg,7233,280,272,822,112,1009,445,183,721,664,57,1423,397,403,281,164
1998,Zuzug,Lichtenberg,4899,82,52,236,26,315,139,51,215,223,22,2061,454,511,340,172
1998,Zuzug,Marzahn-Hellersdorf,3709,98,22,189,14,194,64,28,125,128,13,1790,343,295,271,135
1998,Zuzug,Mitte,8670,389,329,911,131,1420,574,266,847,836,66,1613,371,413,342,162
1998,Zuzug,Neukölln,4954,253,159,578,57,684,277,136,408,497,29,1234,204,225,156,57
1998,Zuzug,Pankow,8502,253,261,638,115,891,450,181,661,562,39,2617,626,536,432,240
1998,Zuzug,Reinickendorf,3617,181,65,401,20,545,151,92,306,273,21,1215,106,111,92,38
1998,Zuzug,Spandau,3411,186,64,322,28,410,128,94,206,290,18,1268,107,136,111,43
